iter	RMSE
0	1.655921342
1	1.627130026
2	1.600436681
3	1.57827453
4	1.555850354
5	1.535749541
6	1.516599229
7	1.498996119
8	1.483553257
9	1.469309303
10	1.455591313
11	1.442432712
12	1.430466541
13	1.420690524
14	1.409472101
15	1.399814681
16	1.391504215
17	1.383909058
18	1.377047506
19	1.369625115
20	1.362905837
21	1.356058681
22	1.350505664
23	1.345350532
24	1.340441084
25	1.335517608
26	1.330730011
27	1.326775378
28	1.32280698
29	1.318702578
30	1.315327916
31	1.31177932
32	1.308349552
33	1.305879985
34	1.303093263
35	1.300474452
36	1.298175904
37	1.295729136
38	1.293171134
39	1.291216634
40	1.289119348
41	1.286084053
42	1.284093481
43	1.282516792
44	1.280940852
45	1.278297191
46	1.276443227
47	1.274863251
48	1.273394604
49	1.27184869
50	1.270016311
51	1.268568436
52	1.266668329
53	1.264570225
54	1.26343971
55	1.262173929
56	1.260276319
57	1.25935041
58	1.25770426
59	1.255959234
60	1.254556328
61	1.253775985
62	1.252428461
63	1.251208046
64	1.250085074
65	1.249301927
66	1.247881101
67	1.246624626
68	1.244971801
69	1.243813431
70	1.243059448
71	1.241672202
72	1.240320139
73	1.239550442
74	1.238537636
75	1.237467508
76	1.236666919
77	1.235788063
78	1.23505631
79	1.233769573
80	1.232277735
81	1.230825236
82	1.230009866
83	1.229211177
84	1.227801743
85	1.226935509
86	1.226075484
87	1.22507092
88	1.223856016
89	1.222967034
90	1.221904773
91	1.221176276
92	1.220206612
93	1.219311033
94	1.218801913
95	1.218275894
96	1.217238819
97	1.216427716
98	1.21562764
99	1.214992728
100	1.214470586
101	1.213731405
102	1.2131935
103	1.212440747
104	1.211177337
105	1.210405673
106	1.209967068
107	1.209079919
108	1.208303531
109	1.207047215
110	1.206458283
111	1.206075323
112	1.205342614
113	1.204485381
114	1.204175608
115	1.203831556
116	1.203064901
117	1.202500914
118	1.201210084
119	1.200630017
120	1.199982772
121	1.199353098
122	1.198522613
123	1.19787967
124	1.197280271
125	1.196410905
126	1.195617823
127	1.195048454
128	1.194134196
129	1.193523957
130	1.193017995
131	1.192725043
132	1.191850171
133	1.191233733
134	1.190516013
135	1.189908814
136	1.189295646
137	1.188784106
138	1.188071854
139	1.187326582
140	1.186469311
141	1.185851244
142	1.185025216
143	1.184329959
144	1.183796913
145	1.18314455
146	1.182585238
147	1.181946043
148	1.181495773
149	1.181001976
150	1.180534363
151	1.180137943
152	1.179190426
153	1.178775167
154	1.17832774
155	1.177837687
156	1.177311981
157	1.176477632
158	1.17540868
159	1.175072617
160	1.174450044
161	1.173774414
162	1.173182447
163	1.172629706
164	1.171748304
165	1.171097096
166	1.170607219
167	1.17015268
168	1.169692115
169	1.169278662
170	1.168890902
171	1.168386399
172	1.168118335
173	1.167727186
174	1.167450904
175	1.167016694
176	1.166419223
177	1.16577062
178	1.164828282
179	1.164286191
180	1.163643767
181	1.163026151
182	1.1621606
183	1.161657271
184	1.160876534
185	1.160277794
186	1.159608859
187	1.159067712
