iter	Passed	Remaining
0	32	32692
1	49	24729
2	73	24285
3	85	21219
4	98	19563
5	112	18568
6	120	17152
7	130	16124
8	136	15017
9	146	14504
10	153	13804
11	162	13353
12	168	12780
13	176	12457
14	185	12155
15	194	11950
16	201	11666
17	212	11614
18	222	11510
19	233	11424
20	249	11613
21	261	11636
22	267	11382
23	278	11311
24	284	11104
25	294	11037
26	302	10907
27	310	10782
28	319	10688
29	327	10573
30	338	10577
31	344	10421
32	354	10377
33	360	10239
34	369	10199
35	376	10069
36	385	10025
37	391	9914
38	402	9921
39	412	9889
40	420	9845
41	436	9946
42	447	9961
43	456	9908
44	475	10098
45	487	10112
46	493	10013
47	503	9994
48	510	9915
49	520	9897
50	528	9826
51	536	9783
52	545	9747
53	552	9674
54	559	9610
55	567	9562
56	573	9491
57	582	9459
58	588	9389
59	598	9382
60	604	9311
61	614	9295
62	638	9491
63	646	9459
64	657	9460
65	668	9453
66	676	9416
67	694	9512
68	705	9518
69	714	9492
70	724	9478
71	730	9414
72	741	9410
73	747	9350
74	756	9332
75	763	9286
76	773	9270
77	780	9220
78	789	9204
79	796	9155
80	805	9141
81	817	9147
82	825	9117
83	837	9127
84	844	9088
85	853	9074
86	864	9069
87	873	9052
88	889	9109
89	899	9090
90	906	9056
91	917	9057
92	925	9025
93	936	9025
94	942	8981
95	950	8954
96	957	8912
97	964	8874
98	972	8851
99	980	8824
100	986	8782
101	993	8748
102	1000	8712
103	1007	8677
104	1019	8686
105	1027	8669
106	1035	8640
107	1044	8629
108	1052	8602
109	1063	8608
110	1071	8585
111	1086	8612
112	1100	8640
113	1109	8623
114	1117	8597
115	1125	8578
116	1132	8546
117	1140	8522
118	1146	8491
119	1153	8456
120	1161	8436
121	1167	8401
122	1176	8385
123	1182	8351
124	1190	8330
125	1196	8300
126	1203	8271
127	1213	8268
128	1222	8255
129	1229	8230
130	1242	8242
131	1250	8222
132	1259	8211
133	1268	8198
134	1276	8180
135	1292	8213
136	1301	8201
137	1308	8175
138	1317	8161
139	1325	8140
140	1331	8112
141	1340	8102
142	1347	8074
143	1356	8062
144	1362	8033
145	1370	8018
146	1377	7995
147	1387	7985
148	1394	7964
149	1404	7959
150	1415	7958
151	1423	7940
152	1435	7945
153	1442	7924
154	1452	7916
155	1459	7896
156	1469	7890
157	1480	7887
158	1498	7924
159	1510	7928
160	1519	7919
161	1530	7916
162	1538	7900
163	1551	7906
164	1559	7892
165	1566	7868
166	1574	7853
167	1581	7832
168	1588	7808
169	1597	7798
170	1607	7794
171	1616	7783
172	1626	7773
173	1634	7757
174	1647	7766
175	1657	7761
176	1665	7743
177	1677	7747
178	1690	7751
179	1708	7784
180	1716	7766
181	1726	7758
182	1732	7734
183	1741	7724
184	1747	7700
185	1758	7694
186	1765	7674
187	1774	7665
188	1780	7641
189	1790	7631
190	1796	7607
191	1805	7597
192	1811	7575
193	1824	7580
194	1833	7569
195	1841	7553
196	1851	7548
197	1859	7530
198	1871	7531
199	1882	7528
200	1891	7518
201	1901	7512
202	1922	7548
203	1929	7527
204	1938	7518
205	1950	7517
206	1958	7501
207	1969	7497
208	1975	7475
209	1984	7465
210	1990	7443
211	2000	7434
212	2007	7417
213	2017	7410
214	2025	7393
215	2036	7390
216	2047	7387
217	2054	7370
218	2066	7369
219	2073	7351
220	2083	7343
221	2092	7332
222	2100	7319
223	2111	7315
224	2121	7307
225	2136	7317
226	2145	7306
227	2152	7287
228	2161	7278
229	2167	7257
230	2176	7246
231	2182	7225
232	2189	7207
233	2197	7193
234	2203	7172
235	2212	7162
236	2219	7145
237	2228	7136
238	2235	7119
239	2245	7110
240	2253	7095
241	2261	7084
242	2270	7073
243	2278	7058
244	2286	7045
245	2294	7033
246	2305	7028
247	2313	7013
248	2327	7020
249	2337	7012
250	2343	6993
251	2352	6981
252	2359	6967
253	2365	6948
254	2373	6935
255	2380	6917
256	2388	6905
257	2395	6890
258	2404	6879
259	2410	6860
260	2419	6849
261	2425	6832
262	2433	6820
263	2442	6810
264	2450	6797
265	2459	6788
266	2470	6783
267	2478	6768
268	2487	6760
269	2497	6752
270	2504	6738
271	2517	6738
272	2537	6757
273	2548	6752
274	2554	6735
275	2563	6723
276	2569	6707
277	2576	6692
278	2584	6678
279	2591	6662
280	2599	6651
281	2605	6635
282	2615	6625
283	2621	6610
284	2630	6599
285	2639	6589
286	2648	6579
287	2655	6564
288	2664	6555
289	2671	6541
290	2680	6531
291	2692	6528
292	2699	6514
293	2709	6507
294	2719	6499
295	2736	6509
296	2749	6507
297	2755	6492
298	2762	6476
299	2768	6460
300	2775	6446
301	2782	6430
302	2788	6415
303	2794	6398
304	2803	6387
305	2810	6374
306	2816	6358
307	2825	6347
308	2831	6331
309	2842	6327
310	2851	6317
311	2863	6315
312	2872	6304
313	2879	6290
314	2889	6283
315	2896	6270
316	2906	6262
317	2918	6259
318	2926	6247
319	2937	6242
320	2954	6250
321	2962	6238
322	2973	6231
323	2979	6215
324	2988	6206
325	2994	6190
326	3003	6182
327	3009	6166
328	3020	6160
329	3026	6145
330	3037	6140
331	3044	6124
332	3057	6124
333	3067	6116
334	3074	6102
335	3085	6097
336	3092	6085
337	3102	6076
338	3113	6070
339	3121	6059
340	3132	6054
341	3142	6046
342	3151	6036
343	3169	6043
344	3182	6041
345	3190	6030
346	3201	6025
347	3208	6011
348	3217	6001
349	3228	5995
350	3235	5982
351	3244	5973
352	3253	5962
353	3261	5952
354	3270	5942
355	3279	5932
356	3288	5922
357	3296	5911
358	3306	5903
359	3314	5892
360	3327	5889
361	3334	5877
362	3344	5869
363	3358	5868
364	3374	5871
365	3382	5858
366	3391	5849
367	3398	5836
368	3409	5830
369	3415	5815
370	3426	5808
371	3432	5794
372	3441	5785
373	3448	5772
374	3457	5762
375	3464	5749
376	3473	5739
377	3482	5730
378	3490	5719
379	3500	5710
380	3508	5699
381	3522	5698
382	3535	5695
383	3545	5686
384	3552	5674
385	3562	5666
386	3571	5656
387	3582	5650
388	3599	5653
389	3605	5639
390	3615	5630
391	3621	5617
392	3632	5609
393	3638	5596
394	3647	5586
395	3654	5573
396	3661	5562
397	3668	5548
398	3675	5535
399	3682	5524
400	3690	5512
401	3698	5501
402	3705	5489
403	3714	5479
404	3723	5470
405	3731	5459
406	3740	5449
407	3747	5437
408	3755	5426
409	3763	5415
410	3770	5403
411	3788	5406
412	3794	5392
413	3805	5387
414	3814	5376
415	3822	5365
416	3830	5354
417	3838	5344
418	3845	5332
419	3853	5321
420	3861	5310
421	3868	5298
422	3875	5286
423	3882	5274
424	3890	5263
425	3898	5252
426	3906	5241
427	3913	5230
428	3920	5218
429	3928	5207
430	3937	5198
431	3945	5187
432	3953	5176
433	3960	5164
434	3967	5153
435	3979	5147
436	3987	5136
437	3994	5125
438	4002	5114
439	4010	5104
440	4017	5092
441	4026	5082
442	4037	5076
443	4044	5065
444	4053	5055
445	4062	5045
446	4069	5034
447	4076	5023
448	4084	5012
449	4092	5002
450	4100	4991
451	4107	4980
452	4114	4968
453	4124	4960
454	4132	4949
455	4139	4938
456	4147	4927
457	4155	4917
458	4162	4905
459	4170	4895
460	4177	4884
461	4185	4873
462	4192	4862
463	4200	4852
464	4207	4841
465	4215	4830
466	4222	4819
467	4230	4808
468	4237	4797
469	4245	4787
470	4252	4776
471	4260	4765
472	4267	4754
473	4274	4743
474	4281	4732
475	4288	4721
476	4297	4712
477	4306	4702
478	4313	4691
479	4321	4681
480	4329	4671
481	4337	4661
482	4345	4651
483	4353	4641
484	4360	4630
485	4368	4620
486	4376	4609
487	4383	4599
488	4391	4588
489	4398	4578
490	4406	4567
491	4413	4556
492	4420	4546
493	4428	4536
494	4438	4527
495	4446	4517
496	4453	4506
497	4461	4496
498	4469	4487
